Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=53, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=10.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 407, total numsteps: 8455, return: 0.34
Episode: 408, total numsteps: 8473, return: 0.86
Episode: 409, total numsteps: 8501, return: 2.85
Episode: 410, total numsteps: 8524, return: -3.23
Episode: 411, total numsteps: 8547, return: 3.59
Episode: 412, total numsteps: 8575, return: 6.59
Episode: 413, total numsteps: 8595, return: 3.27
Episode: 414, total numsteps: 8612, return: -1.92
Episode: 415, total numsteps: 8625, return: -0.05
Episode: 416, total numsteps: 8640, return: -0.5
Episode: 417, total numsteps: 8662, return: -5.42
Episode: 418, total numsteps: 8678, return: 1.44
Episode: 419, total numsteps: 8697, return: 4.87
Episode: 420, total numsteps: 8724, return: 5.72
Episode: 421, total numsteps: 8742, return: 4.24
Episode: 422, total numsteps: 8768, return: 8.29
Episode: 423, total numsteps: 8791, return: -4.44
Episode: 424, total numsteps: 8812, return: 4.97
Episode: 425, total numsteps: 8832, return: -7.62
Episode: 426, total numsteps: 8861, return: 0.85
Episode: 427, total numsteps: 8885, return: -4.32
Episode: 428, total numsteps: 8899, return: 1.32
Episode: 429, total numsteps: 8926, return: -3.97
Episode: 430, total numsteps: 8944, return: 0.07
Episode: 431, total numsteps: 8965, return: 1.96
Episode: 432, total numsteps: 8981, return: 3.53
Episode: 433, total numsteps: 8997, return: -3.09
Episode: 434, total numsteps: 9024, return: -0.65
Episode: 435, total numsteps: 9033, return: -4.64
Episode: 436, total numsteps: 9064, return: 7.01
Episode: 437, total numsteps: 9094, return: 9.97
Episode: 438, total numsteps: 9129, return: 9.71
Episode: 439, total numsteps: 9142, return: -1.81
Episode: 440, total numsteps: 9150, return: -4.19
Episode: 441, total numsteps: 9161, return: 0.88
Episode: 442, total numsteps: 9174, return: -3.02
Episode: 443, total numsteps: 9201, return: -1.65
Episode: 444, total numsteps: 9223, return: -0.84
Episode: 445, total numsteps: 9258, return: 14.77
Episode: 446, total numsteps: 9280, return: 2.69
Episode: 447, total numsteps: 9290, return: -1.48
Episode: 448, total numsteps: 9315, return: 9.12
Episode: 449, total numsteps: 9330, return: -6.54
Episode: 450, total numsteps: 9342, return: 0.88
Episode: 451, total numsteps: 9357, return: 3.83
Episode: 452, total numsteps: 9374, return: 1.38
Episode: 453, total numsteps: 9408, return: 9.36
Episode: 454, total numsteps: 9429, return: 3.02
Episode: 455, total numsteps: 9450, return: 4.63
Episode: 456, total numsteps: 9471, return: 2.49
Episode: 457, total numsteps: 9488, return: -2.99
Episode: 458, total numsteps: 9502, return: -1.87
Episode: 459, total numsteps: 9524, return: 1.86
Episode: 460, total numsteps: 9539, return: 1.48
Episode: 461, total numsteps: 9578, return: 14.0
Episode: 462, total numsteps: 9603, return: 1.79
Episode: 463, total numsteps: 9630, return: -4.45
Episode: 464, total numsteps: 9643, return: -5.38
Episode: 465, total numsteps: 9657, return: 0.24
Episode: 466, total numsteps: 9675, return: -3.33
Episode: 467, total numsteps: 9693, return: -2.57
Episode: 468, total numsteps: 9716, return: 2.89
Episode: 469, total numsteps: 9753, return: 14.64
Episode: 470, total numsteps: 9764, return: -2.36
Episode: 471, total numsteps: 9804, return: 12.41
Episode: 472, total numsteps: 9833, return: 0.64
Episode: 473, total numsteps: 9846, return: -3.3
Episode: 474, total numsteps: 9869, return: 9.4
Episode: 475, total numsteps: 9879, return: -5.47
Episode: 476, total numsteps: 9895, return: 1.63
Episode: 477, total numsteps: 9918, return: 2.09
Episode: 478, total numsteps: 9931, return: -3.64
Episode: 479, total numsteps: 9951, return: 2.29
Episode: 480, total numsteps: 9972, return: -4.46
Episode: 481, total numsteps: 9986, return: -3.94
wandb: WARNING `fps` argument does not affect the frame rate of the video when providing a file path or raw bytes.
[Walker2d-v5] runs sorted by time:
   RPC_53_kl10.0_2b82wkvk
   RPC_53_kl5.0_hskt9s08
   RPC_24_kl5.0_xvle9jwe
   RPC_93_kl10.0_l5bmsdkf
   RPC_93_kl5.0_5wplt2fn
Episode: 482, total numsteps: 10002, return: -0.33
Episode: 483, total numsteps: 10022, return: 8.94
Episode: 484, total numsteps: 10041, return: 5.4
Episode: 485, total numsteps: 10065, return: 11.75
Episode: 486, total numsteps: 10092, return: -1.59
Episode: 487, total numsteps: 10135, return: 15.63
Episode: 488, total numsteps: 10157, return: 7.35
Episode: 489, total numsteps: 10192, return: 9.29
Episode: 490, total numsteps: 10212, return: -3.92
