Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=24, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 400, total numsteps: 8630, return: -5.7
Episode: 401, total numsteps: 8642, return: -3.54
Episode: 402, total numsteps: 8654, return: -0.87
Episode: 403, total numsteps: 8669, return: -5.14
Episode: 404, total numsteps: 8698, return: 6.57
Episode: 405, total numsteps: 8711, return: -1.43
Episode: 406, total numsteps: 8769, return: 5.48
Episode: 407, total numsteps: 8796, return: 6.0
Episode: 408, total numsteps: 8813, return: -7.69
Episode: 409, total numsteps: 8855, return: 18.67
Episode: 410, total numsteps: 8866, return: -5.88
Episode: 411, total numsteps: 8883, return: 4.3
Episode: 412, total numsteps: 8895, return: 0.37
Episode: 413, total numsteps: 8909, return: 0.6
Episode: 414, total numsteps: 8919, return: -0.88
Episode: 415, total numsteps: 8929, return: -1.3
Episode: 416, total numsteps: 8950, return: 7.17
Episode: 417, total numsteps: 8973, return: -6.91
Episode: 418, total numsteps: 8989, return: 1.7
Episode: 419, total numsteps: 9017, return: 13.84
Episode: 420, total numsteps: 9043, return: 3.25
Episode: 421, total numsteps: 9067, return: -3.33
Episode: 422, total numsteps: 9104, return: 17.23
Episode: 423, total numsteps: 9114, return: -2.7
Episode: 424, total numsteps: 9144, return: -1.73
Episode: 425, total numsteps: 9163, return: 3.75
Episode: 426, total numsteps: 9176, return: -3.08
Episode: 427, total numsteps: 9193, return: -7.14
Episode: 428, total numsteps: 9219, return: 3.78
Episode: 429, total numsteps: 9233, return: 4.31
Episode: 430, total numsteps: 9248, return: -6.99
Episode: 431, total numsteps: 9266, return: 6.8
Episode: 432, total numsteps: 9292, return: 5.21
Episode: 433, total numsteps: 9315, return: 5.56
Episode: 434, total numsteps: 9341, return: -6.41
Episode: 435, total numsteps: 9350, return: -5.1
Episode: 436, total numsteps: 9368, return: 1.8
Episode: 437, total numsteps: 9380, return: -0.09
Episode: 438, total numsteps: 9407, return: 14.33
Episode: 439, total numsteps: 9419, return: -3.67
Episode: 440, total numsteps: 9450, return: 7.36
Episode: 441, total numsteps: 9475, return: 12.04
Episode: 442, total numsteps: 9505, return: 3.86
Episode: 443, total numsteps: 9533, return: 6.5
Episode: 444, total numsteps: 9553, return: 3.91
Episode: 445, total numsteps: 9574, return: -2.67
Episode: 446, total numsteps: 9595, return: -5.13
Episode: 447, total numsteps: 9616, return: -1.26
Episode: 448, total numsteps: 9640, return: 2.72
Episode: 449, total numsteps: 9656, return: 4.04
Episode: 450, total numsteps: 9690, return: 2.39
Episode: 451, total numsteps: 9714, return: -4.57
Episode: 452, total numsteps: 9732, return: 1.82
Episode: 453, total numsteps: 9756, return: 2.57
Episode: 454, total numsteps: 9777, return: 2.09
Episode: 455, total numsteps: 9795, return: 3.56
Episode: 456, total numsteps: 9833, return: -5.1
Episode: 457, total numsteps: 9848, return: -4.93
Episode: 458, total numsteps: 9863, return: -0.81
Episode: 459, total numsteps: 9885, return: -2.09
Episode: 460, total numsteps: 9907, return: -3.55
Episode: 461, total numsteps: 9919, return: -2.02
Episode: 462, total numsteps: 9944, return: 3.32
Episode: 463, total numsteps: 9960, return: 4.47
Episode: 464, total numsteps: 9974, return: -4.29
wandb: WARNING `fps` argument does not affect the frame rate of the video when providing a file path or raw bytes.
[Walker2d-v5] runs sorted by time:
   RPC_24_kl1.0_apak5ca5
   RPC_24_kl0.3_e2mfrnnq
   RPC_53_kl1.0_jrj3vjrm
   RPC_1_kl75.0_s5er7ua0
   RPC_53_kl0.3_1dpadcwr
Episode: 465, total numsteps: 10003, return: 1.96
Episode: 466, total numsteps: 10023, return: 6.26
Episode: 467, total numsteps: 10065, return: 13.16
Episode: 468, total numsteps: 10088, return: -0.42
Episode: 469, total numsteps: 10140, return: 31.47
Episode: 470, total numsteps: 10205, return: 28.34
Episode: 471, total numsteps: 10239, return: -7.18
